date,AAPL_price,AMZN_price,GOOGL_price,META_price,MSFT_price,AAPL_return,AMZN_return,GOOGL_return,META_return,MSFT_return
2020-01-01,75.18859354654948,94.21188027518136,71.26948474702381,215.1405058361235,155.7140386672247,,,,,
2020-02-01,75.17266725239001,103.30876280132092,72.59418527703536,206.06582561292146,169.8791134482936,-11.47017853793878,-6.221372013363058,-6.527883127904611,-4.675348118116219,-4.5688126209629925
2020-03-01,63.413293144919656,93.61552221124822,58.81278766285289,164.5979655872692,145.24289772727272,-6.976144619562086,3.5020571318223226,-13.238745093897563,-13.337141347166725,-2.6541544695959707
2020-04-01,65.81555884225028,111.43526204427083,61.04433786301386,175.7754938034784,160.9382585797991,15.53735138072263,26.89001176660719,15.899982680261893,22.727803665139447,13.632582356876966
2020-05-01,75.05474700927735,119.70920066833496,68.55067520141601,215.04683685302734,173.77346267700196,8.509419749614144,-1.2784941240091885,6.446885158914584,9.955549917772633,2.5391266211446384
2020-06-01,83.78196057406339,130.67727279663086,71.04299302534623,230.4366912841797,183.9753279252486,14.7386431391348,12.956672853391126,-1.0791626922698305,0.8796539926599234,11.05594588687464
2020-07-01,92.61516432328658,152.6926567771218,75.19771367853338,237.55244099010122,197.70516135475853,16.513168781436583,14.71136218500213,4.929289319771946,11.714449644881642,0.7370612387604725
2020-08-01,113.8456795102074,162.46273658389137,76.67166500999814,266.92118690127415,204.86522638230096,21.656931742722385,9.046103369298208,9.515109158610668,15.58323009794056,10.275195971329488
2020-09-01,111.77132742745536,158.0374029250372,75.00837780180431,264.702872140067,199.8355756487165,-10.252634555917318,-8.757859185260553,-10.05995450790026,-10.675299926181204,-6.739659186789093
2020-10-01,113.0217548717152,161.53002374822444,76.51789543845437,267.9094737659801,203.7434546730735,-6.0012091824583,-3.575408533520552,10.269499570331387,0.46198210646568594,-3.7369785083180562
2020-11-01,113.5802677154541,157.09039993286132,86.51581153869628,274.389794921875,205.1514434814453,9.549313359924305,4.34398688653248,8.556987539469517,5.267783101177548,6.006034666930593
2020-12-01,123.79534634676847,159.88750041614878,87.72273601185192,274.6126528653231,209.14433843439275,11.457400850980726,2.8058383014484267,-0.10031183687562173,-1.375588663051952,3.9005873344790665
2021-01-01,129.3839504844264,160.0024205258018,89.33480232640316,262.77391293174344,212.99408199912622,-0.5501937874961449,-1.557601223652838,4.263266353028361,-5.429057657503822,4.2891882881433085
2021-02-01,128.0698386744449,163.19342121325042,102.13275909423828,264.4903307462993,230.57382603695518,-7.9711892190290285,-3.5328413767423683,10.64651048096248,-0.2748732548376376,0.4117938662752785
2021-03-01,118.70211128566577,153.4136312733526,101.61593694272248,273.5957960045856,224.73624386994734,0.733969441905602,0.037178414851712915,2.0084901852050807,14.327313128751463,1.4588030341781355
2021-04-01,128.38513510567802,167.60871378580728,112.79742576962425,305.6189647856213,245.80399722144716,7.621746502508042,12.066273709568343,14.107999617757482,10.372467879195879,6.960182299252882
2021-05-01,123.65393905639648,162.3129997253418,114.56229743957519,315.13467559814455,238.1532760620117,-5.049680485425256,-7.047025525869377,0.14233516419985826,1.1228050406453471,-0.7627379470606321
2021-06-01,126.79413812810725,168.38627139004794,120.13840415261008,334.0921700217507,249.6858901977539,9.910941680217423,6.735498737093981,3.6039541493186222,5.773731988346031,8.498868068213472
2021-07-01,141.60537429082962,180.80030968075707,127.59608859107608,350.92581758045014,271.3600013369606,6.498215022042886,-3.2722282722282725,10.350618384625609,2.4704535435420283,5.171647332448148
2021-08-01,144.74719931862572,165.6458872014826,137.33346210826528,360.49862393465907,283.96222201260656,4.24892315465184,4.3034169499993835,7.4009063331029745,6.477694243068255,6.159100427231956
2021-09-01,144.91172572544642,171.35914321172805,140.1196492513021,361.4423537481399,286.7259085518973,-6.803643969545547,-5.351810876292584,-7.616921003907651,-10.54087109665881,-6.611876904532654
2021-10-01,142.2321087065197,166.71031043643043,139.06212216331846,326.38533092680433,293.1660781133743,5.865715552669459,2.660245759664326,10.749883782366986,-4.66132342773281,17.62913122870191
2021-11-01,150.90420677548363,175.88092767624627,145.65610976446243,334.1955319359189,324.64495849609375,10.508171305524105,3.9923701306487036,-4.153096940314671,0.2750543441510045,-0.12823170968752073
2021-12-01,169.82790929620916,170.86247877641156,144.06270599365234,328.5508728027344,322.0190734863281,7.422873690710663,-4.925196878828486,2.082135428838705,3.664561405768607,1.7332649214252038
2022-01-01,166.21589126586915,155.48084869384766,134.94235954284667,317.19132843017576,298.7334716796875,-1.5712361669192987,-10.282991021845667,-6.591923248904963,-6.864875971933648,-7.534492201273901
2022-02-01,166.36246851870888,153.78381508275083,135.68768109773336,226.85273501747534,289.29158742804276,-5.406545703576282,2.6672518265588474,-0.18216623054868597,-32.634236368391534,-3.7212003907562186
2022-03-01,161.96860869034478,154.28047976286516,133.96574733568275,205.82226761527684,286.7539354407269,5.747354315208009,6.143728503001578,2.9694966977323434,5.368904098368121,3.186195736183617
2022-04-01,163.4486328125,151.3087001800537,127.11083793640137,206.79049987792968,280.025927734375,-9.713105184360138,-23.75250931362105,-17.94669840517743,-9.844399649877268,-9.986702962559523
2022-05-01,145.59967186337425,112.47304789225261,112.34526897612072,196.36878022693452,258.86920674641925,-5.449620162781599,-3.2764317603166337,-0.3045256328666479,-3.4069793778045643,-1.8077216560041465
2022-06-01,137.17373402913412,112.86309523809524,111.58640616280692,172.29693240211122,252.19205002557663,-8.142965951084658,-11.645921262241288,-4.2184594647519225,-16.72692918414256,-5.532066743160446
