Date,AAPL,AMZN,GOOGL,META,MSFT
2020-01-02,72.4005126953125,94.90049743652344,67.92080688476562,208.32479858398438,152.50570678710938
2020-01-03,71.69664001464844,93.74849700927734,67.56549072265625,207.2224884033203,150.6067657470703
2020-01-06,72.2679443359375,95.14399719238281,69.36638641357422,211.12521362304688,150.9960174560547
2020-01-07,71.92803192138672,95.34300231933594,69.2323989868164,211.58203125,149.61927795410156
2020-01-08,73.08512115478516,94.59850311279297,69.72517395019531,213.72705078125,152.00250244140625
2020-01-09,74.63748931884766,95.05249786376953,70.45714569091797,216.78567504882812,153.90145874023438
2020-01-10,74.80622863769531,94.15799713134766,70.91221618652344,216.54736328125,153.1893310546875
2020-01-13,76.4044189453125,94.56500244140625,71.46156311035156,220.3706512451172,155.03131103515625
2020-01-14,75.37271118164062,93.47200012207031,70.99308776855469,217.54039001464844,153.93942260742188
2020-01-15,75.04969024658203,93.10099792480469,71.42037200927734,219.61590576171875,154.9363555908203
2020-01-16,75.98982238769531,93.89700317382812,71.96426391601562,220.2316131591797,157.77528381347656
2020-01-17,76.83108520507812,93.23600006103516,73.4212417602539,220.5990447998047,158.65830993652344
2020-01-21,76.3104019165039,94.5999984741211,73.55672454833984,219.90390014648438,158.088623046875
2020-01-22,76.58281707763672,94.37300109863281,73.63711547851562,219.78472900390625,157.32904052734375
2020-01-23,76.95160675048828,94.22899627685547,73.67781066894531,218.2355499267578,158.2974853515625
2020-01-24,76.7298583984375,93.08200073242188,72.75875091552734,216.42816162109375,156.70242309570312
2020-01-27,74.47357940673828,91.41699981689453,71.04967498779297,213.3794708251953,154.0818328857422
2020-01-28,76.58039855957031,92.6624984741211,71.98114013671875,216.27920532226562,157.10122680664062
2020-01-29,78.18340301513672,92.9000015258789,72.28881072998047,221.6814727783203,159.55084228515625
2020-01-30,78.07010650634766,93.53399658203125,72.16722106933594,208.07652282714844,164.05136108398438
2020-01-31,74.60859680175781,100.43599700927734,71.1017837524414,200.50938415527344,161.63023376464844
2020-02-03,74.4036865234375,100.20999908447266,73.5740966796875,202.77354431152344,165.57052612304688
2020-02-04,76.86002349853516,102.4834976196289,71.72854614257812,208.37445068359375,171.02056884765625
2020-02-05,77.48675537109375,101.99349975585938,71.76029205322266,208.65248107910156,170.81167602539062
2020-02-06,78.39312744140625,102.5114974975586,73.24507904052734,209.38735961914062,174.35328674316406
2020-02-07,77.32755279541016,103.96399688720703,73.40090942382812,210.8571014404297,174.60008239746094
2020-02-10,77.69481658935547,106.69550323486328,74.86732482910156,211.58203125,179.1671142578125
2020-02-11,77.2260513305664,107.54000091552734,74.93680572509766,205.75274658203125,175.1223602294922
2020-02-12,79.06002807617188,108.0,75.36209106445312,209.2979736328125,175.37869262695312
2020-02-13,78.49700927734375,107.49349975585938,75.10205841064453,211.66151428222656,174.42919921875
2020-02-14,78.516357421875,106.74349975585938,75.36705017089844,212.6942596435547,175.9864044189453
2020-02-18,77.07866668701172,107.78350067138672,75.40229034423828,216.28915405273438,177.77139282226562
2020-02-19,78.19499969482422,108.51100158691406,75.67174530029297,215.98129272460938,178.30458068847656
2020-02-20,77.39279174804688,107.65499877929688,75.28070068359375,213.09149169921875,175.5816192626953
2020-02-21,75.64097595214844,104.79850006103516,73.61676025390625,208.7220001220703,170.03099060058594
2020-02-24,72.04802703857422,100.4645004272461,70.46062469482422,199.32760620117188,162.70004272460938
2020-02-25,69.60758972167969,98.63700103759766,68.79620361328125,195.405029296875,160.01524353027344
2020-02-26,70.71183013916016,98.97949981689453,69.00214385986328,195.83204650878906,162.01454162597656
2020-02-27,66.08953094482422,94.21499633789062,65.25445556640625,188.43373107910156,150.59918212890625
2020-02-28,66.05085754394531,94.1875,66.46034240722656,191.13487243652344,154.2456512451172
2020-03-02,72.20023345947266,97.69750213623047,68.79620361328125,195.0773468017578,164.50897216796875
2020-03-03,69.90719604492188,95.44950103759766,66.38441467285156,184.60049438476562,156.6258087158203
2020-03-04,73.14983367919922,98.79149627685547,68.56196594238281,190.4297637939453,162.37637329101562
2020-03-05,70.77706146240234,96.20149993896484,65.24503326416016,183.885498046875,158.3014678955078
2020-03-06,69.83714294433594,95.05449676513672,64.30115509033203,179.8338165283203,153.82675170898438
2020-03-09,64.31359100341797,90.03050231933594,60.333641052246094,168.32420349121094,143.40145874023438
